well,depth_top,depth_bottom,strat_unit,lithologic_unit,lower_contact,thrust_phase,reference
Weggis_detailled,0,635,USM-I,,stratigraphic,,Greberetal1994
Weggis_detailled,635,670,USM-Ia,,thrust,,Greberetal1994
Weggis_detailled,670,1360,USM-II,,thrust,,Greberetal1994
Weggis_detailled,1360,2140,USM-I,,thrust,,Greberetal1994
Weggis,0,2140,thrust_sheet_1,,,,
Weggis,2140,2302,USM-I,,stratigraphic,,Greberetal1994
Romanens,0,1,Quaternary,,stratigraphic,,
Romanens,1,173.5,thrust_sheet_2,,thrust,,
Romanens,173.5,366.5,OMM,,stratigraphic,,
Romanens,366.5,2849,USM,,stratigraphic,,
Romanens,2849,2857,UMM,,stratigraphic,,
Romanens_x,2857,2937,CRV,,stratigraphic,,
Romanens_x,2937,2942,CRBE,,stratigraphic,,
Romanens_x,2942,3204.7,JOTI,,stratigraphic,,
Romanens_x,3204.7,3289,JOKI,,stratigraphic,,
Romanens_x,3289,3617,JOOX,,stratigraphic,,
Romanens_x,3617,3630,JMZ,,stratigraphic,,
Romanens_x,3630,3705.9,JME,,stratigraphic,,
Romanens_x,3705.9,3773.2,JMD,,stratigraphic,,
Romanens_x,3773.2,3785,JMG,,stratigraphic,,
Romanens_x,3785,3865,JMB-A,,stratigraphic,,
Romanens_x,3865,3901.3,JUZ-E,,stratigraphic,,
Romanens_x,3901.3,3931.6,JUD-G,,stratigraphic,,
Romanens_x,3931.6,3967.9,JUB-A3,,stratigraphic,,
Romanens_x,3967.9,3986.1,JUA2-A1,,stratigraphic,,
Romanens_x,3986.1,4001.1,TKO,,stratigraphic,,
Romanens_x,4001.1,4301.1,TKU-TKM,,stratigraphic,,
Romanens_x,4301.1,4437.1,TM,,stratigraphic,,
Romanens_x,4437.1,4937.1,PO,,stratigraphic,,
Romanens_x,4937.1,6137.1,PU,,stratigraphic,,
Romanens_x,6137.1,6637.1,COS,,stratigraphic,,
Romanens_x,6637.1,7137.1,basement,,stratigraphic,,
E20,0,400,USM-I,,stratigraphic,,
E30,0,400,UMM,,stratigraphic,,
E35,0,400,UMM,,stratigraphic,,
E40,0,400,USM-I,,stratigraphic,,
E45,0,400,USM-I,,stratigraphic,,
E50,0,400,USM-I,,stratigraphic,,
E55,0,400,OMM,,stratigraphic,,
E60,0,400,OMM,,stratigraphic,,
E65,0,400,OSM,,stratigraphic,,
E70b,0,400,OSM,,stratigraphic,,
RH10,0,400,USM-I,,stratigraphic,,
RH15,0,400,USM-I,,stratigraphic,,
RH25,0,400,UMM,,stratigraphic,,
RH30a,0,400,USM-II,,stratigraphic,,
RH30b,0,400,USM-II,,stratigraphic,,
RH35,0,400,USM-II,,stratigraphic,,
RH40,0,400,USM-II,,stratigraphic,,
RH45,0,400,USM-II,,stratigraphic,,
RH50,0,400,OMM,,stratigraphic,,
RH60c,0,400,OMM,,stratigraphic,,
RH65,0,400,OSM,,stratigraphic,,
RH70,0,400,OSM,,stratigraphic,,
RV15,0,400,USM-II,,stratigraphic,,
RV20,0,400,USM-II,,stratigraphic,,
RV25,0,400,USM-II,,stratigraphic,,
RV30a,0,400,USM-II,,stratigraphic,,
RV30b,0,400,USM-II,,stratigraphic,,
RV30c,0,400,USM-II,,stratigraphic,,
B25,0,400,UMM,,stratigraphic,,
B30,0,400,USM-I,,stratigraphic,,
B55,0,400,USM-I,,stratigraphic,,
B60,0,400,OSM,,stratigraphic,,
B35,0,400,USM-I,,stratigraphic,,
B40,0,400,USM-I,,stratigraphic,,
B45,0,400,USM-I,,stratigraphic,,
B50,0,400,USM-I,,stratigraphic,,
RH12,0,400,USM-I,,stratigraphic,,
RH17,0,400,USM-I,,stratigraphic,,
RH23,0,400,UMM,,stratigraphic,,
RV05,0,400,USM-I,,stratigraphic,,
RH20,0,400,USM-II,,stratigraphic,,
RH30a,0,400,USM-I,,stratigraphic,,
RH30b,0,400,USM-I,,stratigraphic,,
MRP025,0,400,USM-I,,,,
MRP067,0,400,USM-I,,,,
MRP087,0,400,USM-I,,,,
MRP117,0,400,USM-I,,,,
MRP170,0,400,USM-I,,,,
MRP172,0,400,USM-I,,,,
MRP174,0,400,USM-I,,,,
MRP179,0,400,UMM,,,,
MRP187,0,400,USM-I,,,,
MRP198,0,400,USM-II,,,,
MRT052,0,400,USM-I,,,,
RV10b,0,400,USM-I,,,,
