strat_unit,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal
RNKPC,221.5,203.6,0,0.05,0.15,0.6,0,0,0.15,0.05,0,0
RNMUU,237,233.5,0,0,0,0,0.3,0.6,0.1,0,0,0
RNMUA,238.9,237,0,0,0,0.1,0,0,0.6,0.3,0,0
RNMUE,240.7,238.9,0,0,0,0,0,0,0,0.3,0.7,0
RNMUL,244,240.7,0,0,0,0,0.6,0.3,0.1,0,0,0
RNMUC,238.9,233.5,0,0,0,0.05,0.15,0.3,0.35,0.15,0,0
RNROY,244.7,244,0,0.1,0.3,0.5,0,0.05,0,0.05,0,0
RNROF,245,244.7,0,0.7,0,0.3,0,0,0,0,0,0
RNROL,245.5,245,0,0,0.3,0.6,0,0,0,0.1,0,0
RNSOC,246,245.5,0,0.3,0,0.7,0,0,0,0,0,0
RNSOB,246.2,246,0,1,0,0,0,0,0,0,0,0
RBMDU,247.6,247.2,0,0.6,0.1,0.3,0,0,0,0,0,0
RBMDC,247.8,247.6,0,0,0.3,0.6,0,0,0,0.1,0,0
RBMDL,248,247.8,0,0.6,0.3,0.1,0,0,0,0,0,0
RBMVU,248.5,248,0,0.6,0.3,0.1,0,0,0,0,0,0
RBMVC,248.7,248.5,0,0,0.6,0.3,0.1,0,0,0,0,0
RBMVL,249.3,248.7,0,0.7,0,0.3,0,0,0,0,0,0
RBSHR,250,249.3,0,0.3,0.1,0.5,0.05,0,0,0.05,0,0
RBSHM,251,250,0,0.3,0.1,0.56,0,0,0,0.04,0,0
RBSHN,251,249.3,0.3,0.6,0,0.1,0,0,0,0,0,0
NUVIH,19,13.5,0,0.5,0,0,0,0,0,0,0,0.5
NUVIG,13,13.5,0,0,0,0,0,0,0,0,0,1
NUBX,0.01,0,0,0.2,0.6,0.2,0,0,0,0,0,0
NUBE,0.78,0,0.2,0.8,0,0,0,0,0,0,0,0
NUTEF,0,0,0,0.2,0.2,0.6,0,0,0,0,0,0
NUSY,1.81,0.13,0.2,0.8,0,0,0,0,0,0,0,0
NUWA,2.6,0.13,0,0.8,0.2,0,0,0,0,0,0,0
NUEN,0,0,0,0.1,0.8,0.1,0,0,0,0,0,0
NUKOU,0,0,0,0,0.1,0.8,0,0,0,0,0,0.1
NUST,0.78,0.01,0,0.7,0.2,0.1,0,0,0,0,0,0
