well,depth,temperature,temperature_unc_1sigma,data_type
RSB-01,2342.3,76,30,BHT
RSB-01,3392,113,30,BHT
RSB-01,4009.3,137,30,BHT
RSB-01,4009.3,137,30,BHT
RSB-01,4389.3,152,30,BHT
RSB-01,4338.6,155,30,BHT
NDW-01,2947.2,78,30,BHT
NDW-01,2947.2,78,30,BHT
NDW-01,2946.8,78,30,BHT
NDW-01,2265,61,30,BHT
NDW-01,2942.5,78,30,BHT
NDW-01,1003.5,29,30,BHT
NDW-01,2266,61,30,BHT
NDW-01,2266.2,61,30,BHT
NDW-01,2265.5,61,30,BHT
NDW-01,2266,61,30,BHT
OIW-01,1391,46,30,BHT
OIW-01,1606.4,51,30,BHT
OIW-01,1980,58,30,BHT
OIW-01,2439,66,30,BHT
OIW-01,2488.6,72,30,BHT
RKK-10,765.08,36,30,BHT
RKK-10,802.18,36,30,BHT
RKK-10,1294.36,57.5,30,BHT
STH-01,1419,53,30,BHT
STH-01,2032,62,30,BHT
STH-01,2031.8,66,30,BHT
STH-01,2032,67,30,BHT
STH-01,2798,74,30,BHT
STH-01,2798.5,82,30,BHT
STH-01,2798,85,30,BHT
STH-01,2011.5,60,30,BHT
RSB-01,1446,50,30,BHT
RSB-01,1446,50,30,BHT
RSB-01,2342.3,76,30,BHT
RSB-01,2342.3,76,30,BHT
RSB-01,3392,113,30,BHT
RSB-01,4009.3,137,30,BHT
RSB-01,4009.3,137,30,BHT
RSB-01,4389.3,152,30,BHT
RSB-01,4338.6,155,30,BHT
SMG-01,993,35,30,BHT
SMG-01,2662,88,30,BHT
SMG-01,3341,115,30,BHT
SMG-01,3340.5,115,30,BHT
SMG-01,990.3,35,30,BHT
SMG-01,2262.3,88,30,BHT
SMG-01,3340.8,115,30,BHT
SPG-01,3214.5,114,30,BHT
SPG-01,3214.5,114,30,BHT
SPG-01,3215,101,30,BHT
SPG-01,2570.36,84.1,30,BHT
SPG-01,2223.4,68.2,30,BHT
SPG-01,2113.53,68,30,BHT
SPG-01,1288.23,57,30,BHT
VEH-01,502,31,30,BHT
VEH-01,566,30,30,BHT
VEH-01,704.6,34,30,BHT
VEH-01,1497.5,48,30,BHT
VEH-01,1545,48,30,BHT
VEH-01,2124,60,30,BHT
VEH-01,2066.5,59,30,BHT
VRK-01,1861,78,30,BHT
WAP-01,1186,43,30,BHT
WAP-01,1688,51,30,BHT
WAP-01,1996,55,30,BHT
WAP-01,2395,65,30,BHT
WAP-01,2595,70,30,BHT
WED-01,1840.5,66,30,BHT
WED-01,2705,76.3,30,BHT
WED-01,3127,109,30,BHT
WED-01,3127,109,30,BHT
WED-01,1840.5,66,30,BHT
WED-01,2705,84,30,BHT
WED-01,2705,89,30,BHT
WED-01,2705,93,30,BHT
WED-01,3127,107,30,BHT
WED-01,3127,97,30,BHT
WED-01,3127,108,30,BHT
WWK-01,1037.27,59,30,BHT
WWK-01,1995.3,69,30,BHT
WWK-01,2137.16,80,30,BHT
WWK-01,2815.71,104,30,BHT
WWK-01,2834.94,103,30,BHT
WWK-01,2844.16,103,30,BHT
WWK-01,3070.14,109,30,BHT
WWK-01,3077.06,114,30,BHT
WWK-01,3074.47,116,30,BHT
WWK-01,2850.49,112,30,BHT
WWK-01,3051.34,113,30,BHT
WWK-01,3036.26,118,30,BHT
WWK-01,2826.1,104,30,BHT
WWN-01,2459.58,81.1,30,BHT
WWN-01,1241.5,50,30,BHT
WWN-01,2868.66,115,30,BHT
WWN-01,2873.05,112,30,BHT
WWN-01,2822.19,112,30,BHT
WWS-01,1953.15,63,30,BHT
WWS-01,1953.15,63,30,BHT
WWS-01,1953.15,65,30,BHT
WWS-01,1953.15,62,30,BHT
WWS-01,1219.44,43,30,BHT
WWS-01,3054.02,110,30,BHT
WWS-01,3054.02,109,30,BHT
WWS-01,3054.02,105,30,BHT
WWS-01,3054.02,97,30,BHT
WWS-01,3054.02,108,30,BHT
STW-01,2316,64,30,BHT
STW-01,2316,64,30,BHT
STW-01,2316,67,30,BHT
STW-01,3101,90,30,BHT
STW-01,3101,93,30,BHT
STW-01,3101,94,30,BHT
STW-01,3101,94,30,BHT
STW-01,3101,93,30,BHT
MOL-02,1605,60,30,BHT
MOL-02,1605,61,30,BHT
MOL-02,1605,61,30,BHT
MOL-02,2450,68,30,BHT
MOL-02,3287,110,30,BHT
MOL-02,3287,113,30,BHT
MOL-02,3287,116,30,BHT
MOL-02,3287,113,30,BHT
MOL-02,3287,115,30,BHT
OTL-01,1308.64,59,30,BHT
OTL-01,1308.64,61,30,BHT
OTL-01,1308.64,62,30,BHT
OTL-01,2146.12,74.5,30,BHT
OTL-01,2146.12,74.5,30,BHT
OTL-01,2762.75,94,30,BHT
OTL-01,2762.75,99,30,BHT
OTL-01,2762.75,108,30,BHT
OTL-01,2762.75,103,30,BHT
OTL-01,2762.75,94,30,BHT
MRK-01,1816.92,80.6,30,BHT
MRK-01,1816.92,72,30,BHT
MRK-01,1816.92,78.5,30,BHT
MRK-01,2334.79,71,30,BHT
MRK-01,2334.79,77,30,BHT
MRK-01,2334.79,80,30,BHT
MRK-01,2721.24,99,30,BHT
MRK-01,2721.24,99,30,BHT
MRK-01,2721.24,94,30,BHT
MRK-01,1816.92,83,30,BHT
MRK-01,2334.79,81,30,BHT
RKK-32,1252,45,30,BHT
RKK-32,3691,114,30,BHT
RKK-32-S3,3691,111,30,BHT
RKK-32-S3,3691,113,30,BHT
BRK-26,1083.67,65,30,BHT
BRK-26,1242.3,53,30,BHT
PEER,730,28,30,BHT
PEER,730,28,30,BHT
PEER,1346.5,47,30,BHT
PEER,1346.5,47,30,BHT
PEER,1346.5,47,30,BHT
PEER,1346,47,30,BHT
SGRAVENVOE,863.3,37,30,BHT
MEER-02,1799,75,30,BHT
MEER-02,2258.5,85,30,BHT
BREE,1340,48.6,30,BHT
BREE,823.3,23.5,30,BHT
MOLENBEERS,1328,37,30,BHT
DZH#14,1245.7,50,30,BHT
DZH#14,1407.5,55,30,BHT
DZH#14,1407.5,45,30,BHT
DZH#15,1390.5,54,30,BHT
DZH#15,1253,52.2,30,BHT
DZH#15,1253,51.1,30,BHT
AND-06,1714,70.98,5,BHT_corrected
AND-06,2671,102.76,5,BHT_corrected
BRAK-01,1548,72.32,5,BHT_corrected
CAP-01,1656,68.54,5,BHT_corrected
BRK-04,1516,58.27,5,BHT_corrected
BRT-01,2403,82.6,5,BHT_corrected
BRT-01,2599,80.92,5,BHT_corrected
GRH-01,451,26.62,5,BHT_corrected
GWD-01,1238,52.57,5,BHT_corrected
HSW-01-S1,2788,115.02,5,BHT_corrected
KWK-01,2683,119.17,5,BHT_corrected
KWK-01,3114,129.6,5,BHT_corrected
HVB-01,2548,106.9,5,BHT_corrected
IJS-64,1459,62,5,BHT_corrected
IJS-64,3655,122.56,5,BHT_corrected
STH-01,2032,71.93,5,BHT_corrected
STH-01,2798,90.85,5,BHT_corrected
WED-01,2705,105.52,5,BHT_corrected
WED-02,3127,118.22,5,BHT_corrected
WED-02,3068,121.59,5,BHT_corrected
WWS-01,1953,69.19,5,BHT_corrected
WWS-01,3054,118.47,5,BHT_corrected
MOL-02,1605,62.14,5,BHT_corrected
MOL-02,3287,119.46,5,BHT_corrected
OTL-01,1309,66.12,5,BHT_corrected
MRK-01,2335,90.43,5,BHT_corrected
