well,sample,depth,n_grains,aft_age,95ci_minus,95ci_plus,aft_age_stdev,P_X2,data_type,length_mean,length_std,n_lengths,Dpar_mean,Dpar_min,Dpar_max,ref
Boswil,B9rec,1817,45,12.7,2.9,3.7,,0,central_age,,,,,,,Cederbom2011
Chapelle,Ch1,296,22,30.9,8.1,10.9,,0,central_age,,,,,,,Cederbom2011
Chapelle,Ch2,517,8,26.4,4.5,5.4,,77,central_age,,,,,,,Cederbom2011
Chapelle,Ch3,667,20,28.3,3.5,4,,33,central_age,,,,,,,Cederbom2011
Chapelle,Ch4,1041,5,29.9,7.4,9.8,,82,central_age,,,,,,,Cederbom2011
Chapelle,Ch5,1201,33,27,4,4.7,,2,central_age,,,,,,,Cederbom2011
Chapelle,Ch6,1336,13,21.4,4.7,6.1,,22,central_age,,,,,,,Cederbom2011
Entlebuch_t,E8,395,49,24.2,4.5,5.5,,0,central_age,,,,,,,Cederbom2011
Entlebuch_t,E20,1000,60,25.5,4.7,5.8,,0,central_age,,,,,,,Cederbom2011
Entlebuch_t,E26,1300,60,24.5,3.9,4.7,,0,central_age,,,,,,,Cederbom2011
Entlebuch,E32,1600,60,20.8,2.9,3.4,,0,central_age,,,,,,,Cederbom2011
Entlebuch,E36,1800,60,11.5,2.6,3.3,,0,central_age,,,,,,,Cederbom2011
Entlebuch,E42,2100,55,15.6,3.6,4.7,,0,central_age,,,,,,,Cederbom2011
Entlebuch,E2-1,2430,24,4.3,1.1,1.6,,69,central_age,,,,,,,Cederbom2011
Entlebuch,E2-2,2710,12,3,1,1.6,,83,central_age,,,,,,,Cederbom2011
Huenenberg,H10rec,1995,59,4.6,1.2,1.6,,0.4,central_age,,,,,,,Cederbom2011
Lindau,La2,360,26,40.5,11.1,15.2,,0,central_age,,,,,,,Cederbom2011
Lindau,La3,610,44,29,5.4,6.6,,0,central_age,,,,,,,Cederbom2011
Lindau,La5,1085,57,23.1,2.6,2.9,,0,central_age,,,,,,,Cederbom2011
Lindau,La6,1310,49,20.3,3.6,4.3,,0,central_age,,,,,,,Cederbom2011
Lindau,La8,1625,60,13.8,2.3,2.7,,0,central_age,,,,,,,Cederbom2011
Lindau,La10,2374,30,3.2,0.7,0.9,,1,central_age,,,,,,,Cederbom2011
Linden,LE2,607,40,26.8,4,4.8,,0,central_age,,,,,,,Cederbom2011
Linden,LE3,955,40,26.9,3.4,3.9,,1,central_age,,,,,,,Cederbom2011
Linden,LE4,1288,41,33.5,4.5,5.2,,0,central_age,,,,,,,Cederbom2011
Linden,LE5,1687,41,25.1,3.4,3.9,,0,central_age,,,,,,,Cederbom2011
Linden,LE6,1977,37,19.6,2.8,3.3,,0,central_age,,,,,,,Cederbom2011
Linden,LE7,2329,21,9.2,2.2,2.8,,16,central_age,,,,,,,Cederbom2011
Romanens,R3,762,32,33.1,9.5,13.2,,0,central_age,,,,,,,Cederbom2011
Romanens,R4,1107,20,35.7,9.6,13.2,,0,central_age,,,,,,,Cederbom2011
Romanens,R5,1346,25,27.7,8,11.1,,0,central_age,,,,,,,Cederbom2011
Romanens,R6,1790,32,16,3.5,4.4,,0,central_age,,,,,,,Cederbom2011
Romanens,R7,2100,19,10.2,2.8,3.9,,0,central_age,,,,,,,Cederbom2011
Savigny_t,Sa2,350,2,35.4,7.6,9.6,,23,central_age,,,,,,,Cederbom2011
Savigny_t,Sa3,555,20,32.8,7.6,7.9,,0,central_age,,,,,,,Cederbom2011
Savigny_t,Sa5,850,15,39,8.2,10.3,,5,central_age,,,,,,,Cederbom2011
Savigny,Sa6,1060,8,27.5,11.1,18.7,,0,central_age,,,,,,,Cederbom2011
Savigny,Sa7,1300,31,30.8,7.5,10,,0,central_age,,,,,,,Cederbom2011
Savigny,Sa8,1540,27,26.5,5.8,7.5,,0,central_age,,,,,,,Cederbom2011
Savigny,Sa9,1755,3,35.2,21.1,52.4,,1,central_age,,,,,,,Cederbom2011
Savigny,Sa10,1980,26,10.5,2.7,3.5,,1,central_age,,,,,,,Cederbom2011
Savigny,Sa11,2037,5,11.6,4.9,8.3,,78,central_age,,,,,,,Cederbom2011
Thun,Th2,590,40,26.4,3.1,3.6,,32,central_age,,,,,,,Cederbom2011
Thun,Th4,1207,40,30.6,4.2,4.9,,0,central_age,,,,,,,Cederbom2011
Thun,Th5,1500,40,18.7,3.4,4.2,,0,central_age,,,,,,,Cederbom2011
Thun,Th6,1806,40,27.4,4.8,5.8,,0,central_age,,,,,,,Cederbom2011
Thun,Th7,2095,42,24.6,6.3,8.5,,0,central_age,,,,,,,Cederbom2011
Thun,Th8,2394,60,10.7,3.4,4.9,,0,central_age,,,,,,,Cederbom2011
Tuggen,Tg2+3,439,46,22.6,6.4,8.9,,0,central_age,,,,,,,Cederbom2011
Tuggen,Tg11,940,14,20.7,6,8.5,,1,central_age,,,,,,,Cederbom2011
Tuggen,Tg15,1476,6,19,12,32.6,,0,central_age,,,,,,,Cederbom2011
